School Name,School Type,Region,Starting Median Salary,Mid-Career Median Salary
University of Florida (UF),State,Southern,"$47,100.00","$87,900.00"
University of Florida (UF),Party,Southern,"$47,100.00","$87,900.00"
University of Georgia (UGA),Party,Southern,"$44,100.00","$86,000.00"
University of Georgia (UGA),State,Southern,"$44,100.00","$86,000.00"
University of Hawaii,State,Western,"$43,800.00","$76,000.00"
University of Houston (UH),State,Southern,"$46,000.00","$79,900.00"
University of Idaho,State,Western,"$44,900.00","$82,000.00"
University of Illinois at Chicago,State,Midwestern,"$47,500.00","$81,700.00"
University of Illinois at Urbana-Champaign (UIUC),State,Midwestern,"$52,900.00","$96,100.00"
University of Illinois at Urbana-Champaign (UIUC),Party,Midwestern,"$52,900.00","$96,100.00"
University of Iowa (UI),State,Midwestern,"$44,700.00","$83,900.00"
University of Iowa (UI),Party,Midwestern,"$44,700.00","$83,900.00"
University of Kansas,State,Midwestern,"$42,400.00","$81,600.00"
University of Kentucky (UK),State,Southern,"$42,800.00","$78,300.00"
University of Louisiana (UL) at Lafayette,State,Southern,"$41,100.00","$76,300.00"
University of Maryland Baltimore County (UMBC),State,Southern,"$47,000.00","$77,800.00"
"University of Maryland, College Park",State,Southern,"$52,000.00","$95,000.00"
"University of Maryland, College Park",Party,Southern,"$52,000.00","$95,000.00"
University of Massachusetts (UMass) - Amherst,State,Northeastern,"$46,600.00","$88,200.00"
University of Massachusetts (UMass) - Boston,State,Northeastern,"$45,600.00","$78,200.00"
University of Massachusetts (UMass) - Dartmouth,State,Northeastern,"$43,200.00","$77,700.00"
University of Massachusetts (UMass) - Lowell,State,Northeastern,"$45,400.00","$86,600.00"
University of Memphis (U of M),State,Southern,"$41,400.00","$69,700.00"
University of Michigan,State,Midwestern,"$52,700.00","$93,000.00"
University of Minnesota,State,Midwestern,"$46,200.00","$84,200.00"
University of Mississippi,Party,Southern,"$41,400.00","$79,700.00"
University of Mississippi,State,Southern,"$41,400.00","$79,700.00"
University of Missouri - Columbia,State,Midwestern,"$41,700.00","$81,000.00"
University of Missouri - Kansas City (UMKC),State,Midwestern,"$38,900.00","$65,800.00"
University of Missouri - Rolla (UMR),State,Midwestern,"$57,100.00","$95,800.00"
University of Missouri - St. Louis (UMSL),State,Midwestern,"$41,400.00","$67,100.00"
University of Montana,State,Western,"$37,300.00","$71,900.00"
University of Nebraska,State,Midwestern,"$45,700.00","$80,900.00"
University of Nebraska at Omaha,State,Midwestern,"$41,500.00","$72,600.00"
"University of Nevada, Las Vegas (UNLV)",State,Western,"$45,200.00","$71,600.00"
"University of Nevada, Reno (UNR)",State,Western,"$46,500.00","$82,900.00"
University of New Hampshire (UNH),Party,Northeastern,"$41,800.00","$78,300.00"
University of New Hampshire (UNH),State,Northeastern,"$41,800.00","$78,300.00"
University of New Mexico (UNM),State,Western,"$41,600.00","$81,600.00"
University of North Carolina at Chapel Hill (UNCH),State,Southern,"$42,900.00","$81,500.00"
University of North Carolina at Charlotte (UNCC),State,Southern,"$43,100.00","$74,000.00"
University of North Carolina at Wilmington (UNCW),State,Southern,"$37,500.00","$64,400.00"
University of North Dakota,State,Midwestern,"$44,000.00","$80,600.00"
University of Oklahoma,State,Southern,"$44,700.00","$82,900.00"
University of Oregon,State,Western,"$42,200.00","$78,400.00"
University of Pennsylvania,Ivy League,Northeastern,"$60,900.00","$120,000.00"
University of Puget Sound,Liberal Arts,Western,"$46,600.00","$81,500.00"
University of Rhode Island (URI),State,Northeastern,"$43,900.00","$85,300.00"
University of Richmond,Liberal Arts,Southern,"$48,600.00","$94,600.00"
University of South Carolina,State,Southern,"$40,000.00","$71,700.00"
University of South Florida (USF),State,Southern,"$41,100.00","$71,100.00"
University of Southern Maine,State,Northeastern,"$39,400.00","$63,600.00"
University of Tennessee,State,Southern,"$43,800.00","$74,600.00"
University of Tennessee,Party,Southern,"$43,800.00","$74,600.00"
